iter	Passed	Remaining
0	164	164382
1	175	87784
2	187	62181
3	199	49604
4	211	42179
5	226	37459
6	238	33779
7	253	31483
8	269	29661
9	286	28348
10	301	27146
11	317	26138
12	336	25545
13	350	24664
14	363	23897
15	377	23228
16	393	22726
17	406	22201
18	419	21682
19	434	21278
20	452	21080
21	469	20867
22	486	20684
23	501	20396
24	516	20150
25	531	19922
26	547	19714
27	564	19602
28	579	19405
29	593	19193
30	608	19031
31	622	18835
32	637	18676
33	652	18551
34	665	18347
35	680	18217
36	696	18133
37	711	18011
38	726	17907
39	742	17811
40	757	17707
41	772	17630
42	791	17604
43	825	17938
44	841	17862
45	867	17982
46	880	17852
47	897	17800
48	916	17797
49	932	17720
50	945	17592
51	1004	18310
52	1037	18544
53	1052	18434
54	1064	18296
55	1078	18187
56	1093	18090
57	1109	18013
58	1123	17919
59	1138	17839
60	1152	17733
61	1165	17625
62	1183	17602
63	1200	17564
64	1219	17535
65	1237	17518
66	1256	17498
67	1274	17462
68	1288	17387
69	1305	17345
70	1322	17298
71	1341	17284
72	1358	17248
73	1373	17191
74	1388	17118
75	1404	17072
76	1418	17000
77	1432	16935
78	1444	16836
79	1457	16761
80	1472	16703
81	1486	16636
82	1498	16561
83	1514	16519
84	1529	16465
85	1543	16400
86	1556	16335
87	1573	16302
88	1589	16271
89	1604	16218
90	1617	16154
91	1630	16096
92	1646	16060
93	1666	16061
94	1684	16048
95	1701	16019
96	1716	15977
97	1735	15969
98	1751	15941
99	1768	15915
100	1786	15898
101	1804	15888
102	1818	15839
103	1832	15789
104	1846	15742
105	1862	15706
106	1876	15660
107	1888	15600
108	1901	15543
109	1915	15499
110	1929	15454
111	1943	15405
112	1960	15387
113	1977	15370
114	1994	15347
115	2012	15337
116	2029	15318
117	2044	15283
118	2061	15259
119	2076	15226
120	2089	15180
121	2101	15125
122	2115	15085
123	2129	15046
124	2143	15007
125	2156	14960
126	2168	14905
127	2182	14867
128	2197	14836
129	2211	14798
130	2230	14798
131	2247	14776
132	2274	14825
133	2293	14825
134	2314	14828
135	2332	14817
136	2346	14779
137	2360	14745
138	2373	14705
139	2386	14662
140	2398	14612
141	2412	14575
142	2425	14536
143	2437	14488
144	2449	14441
145	2461	14400
146	2476	14369
147	2490	14339
148	2503	14301
149	2518	14270
150	2530	14228
151	2542	14185
152	2556	14151
153	2570	14121
154	2584	14087
155	2596	14049
156	2610	14015
157	2624	13985
158	2637	13951
159	2651	13922
160	2665	13890
161	2682	13874
162	2698	13855
163	2715	13842
164	2732	13827
165	2749	13814
166	2762	13780
167	2779	13766
168	2797	13755
169	2814	13740
170	2830	13721
171	2842	13681
172	2856	13653
173	2869	13619
174	2882	13587
175	2895	13557
176	2907	13517
177	2921	13490
178	2934	13459
179	2948	13431
180	2962	13406
181	2974	13370
182	2987	13336
183	3000	13305
184	3014	13280
185	3028	13254
186	3042	13229
187	3054	13192
188	3067	13164
189	3082	13142
190	3095	13111
191	3109	13083
192	3123	13058
193	3139	13043
194	3158	13038
195	3176	13029
196	3194	13021
197	3211	13006
198	3228	12995
199	3247	12991
200	3265	12978
201	3280	12961
202	3292	12927
203	3305	12898
204	3316	12863
205	3330	12838
206	3344	12813
207	3358	12789
208	3372	12764
209	3384	12730
210	3396	12701
211	3411	12680
212	3424	12652
213	3437	12626
214	3449	12592
215	3461	12565
216	3474	12537
217	3487	12511
218	3500	12483
219	3514	12459
220	3528	12438
221	3544	12420
222	3559	12400
223	3576	12388
224	3592	12372
225	3608	12357
226	3622	12335
227	3637	12315
228	3653	12299
229	3670	12288
230	3687	12276
231	3703	12258
